doc_id	ranked
137	0.6297
136	0.6297
140	0.4254
16570	0.4164
34813	0.4108
36005	0.4035
36001	0.4035
41089	0.3761
36007	0.3733
36009	0.3718
36008	0.3718
36004	0.3718
39324	0.3716
36977	0.3645
37363	0.3638
39491	0.3584
12391	0.3517
27103	0.3379
37364	0.3370
30232	0.3339
12393	0.3301
38362	0.3279
6867	0.3200
35449	0.3149
35077	0.3131
37254	0.3125
37251	0.3105
36686	0.3089
37258	0.3022
34159	0.2994
37257	0.2983
15335	0.2965
35775	0.2928
6303	0.2924
33782	0.2921
20532	0.2909
37018	0.2908
38564	0.2895
37026	0.2883
40770	0.2858
37252	0.2858
35350	0.2840
20847	0.2826
23447	0.2797
21791	0.2781
28443	0.2780
24958	0.2765
24866	0.2756
24670	0.2753
18098	0.2747
37020	0.2746
24412	0.2729
20838	0.2727
30410	0.2718
29390	0.2718
40750	0.2709
29859	0.2699
907	0.2666
22394	0.2665
22125	0.2652
15234	0.2652
27274	0.2644
24223	0.2644
24957	0.2637
33911	0.2636
21377	0.2636
21751	0.2622
28394	0.2618
25023	0.2607
21651	0.2595
34939	0.2589
23446	0.2589
23616	0.2582
23449	0.2582
25457	0.2550
34430	0.2549
23679	0.2549
23047	0.2549
22583	0.2549
21274	0.2549
31376	0.2545
24491	0.2537
26549	0.2527
19747	0.2524
27131	0.2510
24317	0.2508
24962	0.2499
24241	0.2499
24579	0.2492
23610	0.2487
25610	0.2482
16952	0.2480
29606	0.2472
31031	0.2459
30471	0.2459
26685	0.2459
25937	0.2459
24168	0.2459
39890	0.2455
8553	0.2447
10934	0.2446
24380	0.2435
28130	0.2419
22164	0.2407
18582	0.2407
1980	0.2405
3784	0.2404
40667	0.2402
21303	0.2399
31170	0.2397
29654	0.2394
25386	0.2394
24077	0.2394
23645	0.2394
23572	0.2394
23559	0.2394
22826	0.2394
22389	0.2394
22165	0.2394
21886	0.2394
38067	0.2385
30403	0.2382
26213	0.2374
19011	0.2374
16874	0.2374
21346	0.2364
34977	0.2360
28909	0.2349
28819	0.2346
24448	0.2335
18134	0.2323
28942	0.2317
29458	0.2311
22378	0.2309
16819	0.2304
40927	0.2302
16873	0.2302
28287	0.2301
26575	0.2301
19529	0.2301
960	0.2299
23448	0.2291
18114	0.2290
37300	0.2287
38820	0.2280
36701	0.2280
10663	0.2277
21019	0.2275
37435	0.2268
33452	0.2262
33451	0.2262
2489	0.2262
23292	0.2255
3084	0.2250
579	0.2249
22256	0.2234
31421	0.2228
31636	0.2223
40090	0.2219
36916	0.2217
18343	0.2217
29245	0.2215
25842	0.2212
24606	0.2211
38557	0.2206
17024	0.2203
17787	0.2187
26086	0.2185
32015	0.2181
20584	0.2177
1500	0.2177
39986	0.2176
35249	0.2176
34587	0.2176
16283	0.2176
18132	0.2172
37651	0.2171
37934	0.2166
21083	0.2161
7818	0.2155
33236	0.2152
40425	0.2151
34521	0.2150
39846	0.2147
33130	0.2145
21887	0.2140
653	0.2140
24476	0.2134
26204	0.2132
36382	0.2129
29582	0.2129
36859	0.2127
18283	0.2125
18133	0.2125
2975	0.2125
21071	0.2124
32598	0.2120
25509	0.2120
24583	0.2120
37932	0.2113
23732	0.2109
23440	0.2109
220	0.2109
35260	0.2108
26651	0.2104
22733	0.2102

